address	available_bike_stands	available_bikes	banking	bike_stands	bonus	contract_name	last_update	lat	lng	name	number	status	idr
112 RUE VERCINGETORIX - 75014 PARIS	65	2	0	67	0	Paris	15/07/2013 20:15	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	78096
112 RUE VERCINGETORIX - 75014 PARIS	65	2	0	67	0	Paris	15/07/2013 20:20	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	79325
112 RUE VERCINGETORIX - 75014 PARIS	65	2	0	67	0	Paris	15/07/2013 20:25	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	80554
112 RUE VERCINGETORIX - 75014 PARIS	65	2	0	67	0	Paris	15/07/2013 20:30	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	81783
112 RUE VERCINGETORIX - 75014 PARIS	65	2	0	67	0	Paris	15/07/2013 20:35	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	83012
112 RUE VERCINGETORIX - 75014 PARIS	64	3	0	67	0	Paris	15/07/2013 20:40	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	84241
112 RUE VERCINGETORIX - 75014 PARIS	65	2	0	67	0	Paris	15/07/2013 20:45	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	85470
112 RUE VERCINGETORIX - 75014 PARIS	64	3	0	67	0	Paris	15/07/2013 20:50	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	86699
112 RUE VERCINGETORIX - 75014 PARIS	64	3	0	67	0	Paris	15/07/2013 20:55	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	87928
112 RUE VERCINGETORIX - 75014 PARIS	63	4	0	67	0	Paris	15/07/2013 21:00	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	89157
112 RUE VERCINGETORIX - 75014 PARIS	64	3	0	67	0	Paris	15/07/2013 21:05	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	90386
112 RUE VERCINGETORIX - 75014 PARIS	64	3	0	67	0	Paris	15/07/2013 21:10	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	91615
112 RUE VERCINGETORIX - 75014 PARIS	65	2	0	67	0	Paris	15/07/2013 21:15	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	92844
